treatmnt,mean_perc_in,sd_perc_in,n_perc_in,se_perc_in,wilcox_cl
JB624,72.27060393727062,11.470837109391598,24,2.34147482004928,b
JB767,71.27043710377045,12.392080183533773,24,2.5295227751093887,b
JB543,70.9392726059393,12.489498499986993,24,2.549408205685336,b
JB951,48.03136469803134,6.6021465362816585,24,1.347657518414451,c
CTRL,1.3513513513513524,2.390950640349685,24,0.4880507557531188,a
