treatmnt,mean_perc_in,sd_perc_in,n_perc_in,se_perc_in,wilcox_cl
JB524,83.54430379746837,6.3784538005285105,24,1.3019964299342472,b
JB767,76.26582278481013,8.779801553653794,24,1.7921694874455651,c
JB543,74.99999999999999,8.37367074497565,24,1.7092683832717859,c
JB951,41.45569620253165,6.282159342903363,24,1.2823404060809416,d
CTRL,0.21097046413502082,0.7147591171813661,24,0.14589959384137632,a
