treatmnt,mean_perc_in,sd_perc_in,n_perc_in,se_perc_in,dunn_cl
JB767,97.30392156862746,3.856976972210314,12,1.1134133465819063,b
JB543,96.5686274509804,4.127820383924923,12,1.1915991049127392,bc
JB624,95.83333333333333,4.768687405805671,12,1.3766014787115413,bc
JB951,91.1764705882353,7.204381596421112,12,2.079725827019258,c
CTRL,27.69607843137255,25.034054607917483,12,7.226709083394476,a
