treatmnt,mean_perc_in,sd_perc_in,n_perc_in,se_perc_in,dunn_cl
JB524,98.02083333333333,1.8042195912175805,12,0.5208333333333334,b
JB951,97.8125,1.0825317547305484,12,0.31250000000000006,b
JB767,96.35416666666667,4.410032896874484,12,1.2730668400727942,b
JB543,95.41666666666667,4.438126822992973,12,1.2811768579763458,b
CTRL,11.979166666666666,16.689496674328566,12,4.817842698781481,a
